# One line per image: filename | prompt
# Keep the whole line after the | as the prompt - the shared tail is the style lock.

callisto.webp | awe-inspiring depiction of Callisto, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
christ-the-redeemer.webp | awe-inspiring depiction of Christ the Redeemer, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
dead-sea.webp | awe-inspiring depiction of Dead Sea, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
europa.webp | awe-inspiring depiction of Europa, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
ganymede.webp | awe-inspiring depiction of Ganymede, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
great-blue-hole.webp | awe-inspiring depiction of Great Blue Hole, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
great-pyramid-of-giza.webp | awe-inspiring depiction of Great Pyramid of Giza, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
great-wall-of-china.webp | awe-inspiring depiction of Great Wall of China, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
lapis-lazuli.webp | awe-inspiring depiction of Lapis Lazuli, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
loch-ness.webp | awe-inspiring depiction of Loch Ness, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
mars.webp | awe-inspiring depiction of Mars, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
